team
Bournemouth
Burnley
Crystal Palace
Leicester
Liverpool
Man United
Newcastle
Tottenham
Watford
West Ham
Arsenal
Aston Villa
Brighton
Chelsea
Everton
Man City
Norwich
Sheffield United
Southampton
Wolves
