HomeTeam,AwayTeam,GameNumber
"Bielefeld","Osnabruck",1
"Erzgebirge Aue","Sandhausen",2
"Bochum","Heidenheim",3
"Greuther Furth","Hamburg",4
"Karlsruhe","Darmstadt",5
"Regensburg","Holstein Kiel",6
"St Pauli","Nurnberg",7
"Wehen","Stuttgart",8
