team
Aldershot
Barnet
Barrow
Boreham Wood
Bromley
Chesterfield
Chorley
Dag and Red
Dover Athletic
Eastleigh
Ebbsfleet
Fylde
Halifax
Harrogate
Hartlepool
Maidenhead
Notts County
Solihull
Stockport
Sutton
Torquay
Woking
Wrexham
Yeovil
