team
Ajaccio
Auxerre
Caen
Chambly
Chateauroux
Clermont
Grenoble
Guingamp
Le Havre
Le Mans
Lens
Lorient
Nancy
Niort
Orleans
Paris FC
Rodez
Sochaux
Troyes
Valenciennes
