team
Aves
Rio Ave
Portimonense
Santa Clara
Guimaraes
Famalicao
Benfica
Maritimo
Boavista
Sp Lisbon
Sp Braga
Porto
Tondela
Setubal
Gil Vicente
Moreirense
Belenenses
Pacos Ferreira
