team
Feyenoord
Groningen
FC Emmen
Zwolle
VVV Venlo
Utrecht
Twente
Waalwijk
AZ Alkmaar
Willem II
PSV Eindhoven
For Sittard
Den Haag
Heerenveen
Vitesse
Sparta Rotterdam
Heracles
Ajax
