team
Alaves
Ath Bilbao
Ath Madrid
Betis
Celta
Espanol
Leganes
Mallorca
Valencia
Villarreal
Barcelona
Eibar
Getafe
Granada
Levante
Osasuna
Real Madrid
Sevilla
Sociedad
Valladolid
