team
Leeds
Sheffield Weds
Wigan
Charlton
Derby
QPR
Swansea
West Brom
Barnsley
Birmingham
Millwall
Luton
Middlesbrough
Cardiff
Blackburn
Huddersfield
Hull
Nott'm Forest
Stoke
Brentford
Fulham
Preston
Bristol City
Reading
