HomeTeam,AwayTeam,GameNumber
"Alanyaspor","Gaziantep",1
"Ankaragucu","Rizespor",2
"Antalyaspor","Sivasspor",3
"Denizlispor","Genclerbirligi",4
"Galatasaray","Besiktas",5
"Kasimpasa","Goztep",6
"Kayserispor","Yeni Malatyaspor",7
"Konyaspor","Fenerbahce",8
"Trabzonspor","Buyuksehyr",9
