HomeTeam,AwayTeam,GameNumber
"Fylde","Aldershot",1
"Barrow","Wrexham",2
"Boreham Wood","Torquay",3
"Bromley","Chorley",4
"Dover Athletic","Chesterfield",5
"Halifax","Ebbsfleet",6
"Maidenhead","Stockport",7
"Notts County","Eastleigh",8
"Solihull","Harrogate",9
"Sutton","Hartlepool",10
"Woking","Dag and Red",11
"Yeovil","Barnet",12
