team
Konyaspor
Denizlispor
Alanyaspor
Kayserispor
Ankaragucu
Trabzonspor
Buyuksehyr
Antalyaspor
Galatasaray
Rizespor
Gaziantep
Besiktas
Sivasspor
Genclerbirligi
Goztep
Kasimpasa
Yeni Malatyaspor
Fenerbahce
