team
Almeria
Cadiz
Elche
Girona
La Coruna
Las Palmas
Lugo
Numancia
Santander
Vallecano
Zaragoza
Albacete
Alcorcon
Extremadura UD
Fuenlabrada
Huesca
Malaga
Mirandes
Oviedo
Ponferradina
Sp Gijon
Tenerife
