team
Bielefeld
Bochum
Darmstadt
Dresden
Erzgebirge Aue
Greuther Furth
Hamburg
Hannover
Heidenheim
Holstein Kiel
Karlsruhe
Nurnberg
Osnabruck
Regensburg
Sandhausen
St Pauli
Stuttgart
Wehen
