team
Ascoli
Benevento
Chievo
Cittadella
Cosenza
Cremonese
Crotone
Empoli
Frosinone
Juve Stabia
Livorno
Perugia
Pescara
Pisa
Pordenone
Salernitana
Spezia
Trapani
Venezia
Virtus Entella
